Title,P_time,Department,Post,news,Url
山东菏泽一粮库7名作业人员被掩埋 6人抢救无效死亡,12/29/2017,国家应急广播网综合,,12月29日上午8点10分许，位于山东菏泽东明县东明集镇井店村的中粮中谷粮食储备库发生粮库平仓作业人员被掩埋事故，7人被困。事故发生后，当地立即组织救援，7人被全部救出，先后送往医院救治，其中6人因抢救无效死亡，1人经抢救已脱离危险，生命体征平稳。涉事人员已被公安部门控制，事故具体原因正在进一步调查中。(消息来源：央视新闻客户端 央视记者窦效磊),http://www.cneb.gov.cn/2017/12/29/ARTI1514544590170127.shtml
大雾橙色预警：京津冀等8省市有大雾局地强浓雾,12/29/2017,国家应急广播网综合,,中国天气网讯 中央气象台12月29日18时继续发布大雾橙色预警。预计，29日夜间至30日上午，北京中南部、天津、河北中南部、山东西部和南部、江苏北部和西部、安徽、浙江西北部、湖北东部等地有大雾，部分地区浓雾，其中，河北中南部、山东西北部、安徽东北部、江苏西北部等地的部分地区有能见度低于200米的强浓雾，局地能见度不足50米。防御指南1.有关部门和单位按照职责做好防雾工作；2.机场、高速公路、轮渡码头等单位加强调度指挥；3.驾驶人员必须严格控制车、船的行进速度；4.减少户外活动。,http://www.cneb.gov.cn/2017/12/29/ARTI1514543965927970.shtml
苦等66天 青海西宁终于迎来入冬首场降雪,12/29/2017,国家应急广播网综合,,中新网西宁12月29日电(记者孙睿)在苦苦盼望了66天之后，青海省省会西宁在29日终于迎来了今年入冬以来的首场降雪。从最新数据显示来看，28日8时到29日8时，青海全省共有19个城镇出现了降水，其中城镇最大降水量出现在同仁，降雪量为1.3毫米。与此同时，受降雪影响，青海全省大部地区气温也随之下降，当日上午9时50分，青海省气象台发布西宁、海东等多地寒潮黄色预警信号，预计未来24小时内上述地区日平均气温将要下降4摄氏度以上并可能持续。据了解，今年入冬以来，青海省大部鲜有降水，北部地区持续无降水日数均在60天以上，其中省会西宁市区更是达到了创记录的66天无降水，导致气候异常干燥。当天雪景刷爆了朋友圈，不少市民调侃说，只有下雪才是对冬天最大的尊重。据气象资料显示，入冬以来，该省大部分地区持续无降水天气，其中北部柴达木、诺木洪地区持续无降水日数已超过100天以上。青海省气象局气象专家表示，此次降雪量不大，但对缓解前期干燥还是有一定作用。但随着气温的不断走低，部分地区会出现短时积雪，相关部门应做好交通安全工作。,http://www.cneb.gov.cn/2017/12/29/ARTI1514536657270421.shtml
安徽有中到重度空气污染 30日起冷空气来袭降温4至6℃,12/29/2017,国家应急广播网综合,,中国天气网讯 29日早晨，安徽出现能见度不足200米的强浓雾，多条高速入口临时封闭。29日、30日两天，中北部地区空气质量较差，将为中度至重度污染。31日，冷空气影响下，雾和霾逐渐减弱消散，空气质量转好。元旦假期后两天，安徽没有明显降水，适宜出行，不过早晚气温多在冰点以下，请注意保暖。28日起，安徽遭遇大范围雾、霾天气，空气质量转差，环保部监测显示，淮南、安庆、芜湖等多地空气质量出现中到重度污染。29日早晨雾和霾加重，安徽中部和北部地区能见度大部在200米以下，局地不足50米。怀远、大溪河高速观测站能见度仅4米。安徽省气象局8时10分发布大雾橙色预警。据安徽交通运输联网管理中心消息，截至29日上午10时左右，受大雾影响，G3京台高速合徐段；G3W德上高速；G30连霍高速安徽段；G35济广高速周岳段长集、罗集、六安西、霍山、大别山东；G36宁洛高速界阜蚌段、蚌明段、滁宁段（除曹庄外）；G40沪陕高速合六叶段、合宁段；G4001绕城高速；S04泗宿高速；S06宿登高速淮北段；S07徐明高速等多条高速路段入口临时封闭。据安徽省环保厅消息，经预测，29日、30日两天合肥等15市可能出现大气持续重污染过程，已发布重污染天气省级黄色预警。安徽省重污染天气预报预警中心、安徽省环境气象中心预计，29日大气扩散条件不利，淮河以北、江淮之间和沿江空气质量为中度至重度污染；江南为良-轻度污染。30日受污染物传输影响，淮河以北、江淮之间和沿江空气质量为中度至重度污染；江南为良-轻度污染。首要污染物均为PM2.5。31日，冷空气影响下，雾和霾逐渐减弱消散。元旦假期期间，安徽没有明显降水出现。安徽省气象台预计，30日淮北地区和江淮之间多云到晴，江南阴转多云，南部部分地区有小雨；早晨沿淮淮河以南东部有雾。31日全省多云到晴；1月1日多云转阴。不过受冷空气影响，大风降温来袭，预计29日夜间起全省平均风力逐渐增强到3至4级，阵风6级。30至31日全省平均气温将下降4至6℃。31日早晨大部地区气温降至冰点或以下，淮河以北和山区最低气温-3至-5℃，其他地区0至-2℃，早晚较冷。气象专家提醒，29日、30日两天大部空气质量仍然不佳，尽量减少户外活动，出行时采取佩戴口罩等防护措施，做好健康防护措施，儿童、老年人和患有心脑血管疾病等易感人群应当留在室内，避免户外活动。元旦假期后两天早晚气温低，出行请注意防寒保暖。（文/杜冰冰）,http://www.cneb.gov.cn/2017/12/29/ARTI1514534145799196.shtml
慢性呼吸系统疾病 警惕“沉默杀手”慢阻肺,12/29/2017,国家应急广播网综合,,进入冬季，一些老烟民常出现咳嗽、气喘的情况。专家提示，40岁以上的老烟民活动后出现气急、咳嗽、咳痰症状3个月以上，应尽早就诊检查，警惕“沉默杀手”慢阻肺。山西医科大学第一医院呼吸科主任医师张日新介绍，慢阻肺是最常见的慢性呼吸系统疾病，因呼吸道长期暴露于有害气体或有害颗粒物环境下，致使呼吸时气流受阻、肺功能逐渐减退。早期无症状或症状较轻，易被忽略。慢阻肺不仅可致肺功能逐渐下降，也可引起全身不良反应，增加其他疾病患病风险，包括心血管疾病、骨骼肌功能障碍、骨质疏松症和肺癌等。专家表示，除二手烟、空气污染、感染及职业粉尘和化学物质等因素外，吸烟是慢阻肺发病的最大风险因素。需要特别注意的是，慢阻肺很容易被当成普通感冒来对待，或被误以为是年老体虚而致，也常常被怀疑是心脏、血液方面的问题，往往被确诊时已是中晚期，无法彻底治愈。张日新建议，中老年人应尽量戒烟，坚持适度锻炼，保持和增强肺部功能。（消息来源：山西日报）,http://www.cneb.gov.cn/2017/12/29/ARTI1514532685047878.shtml
北京29日早晨现雾凇局地飘雪 30日起空气质量好转,12/29/2017,国家应急广播网综合,,中国天气网讯 据北京气象台消息，由于近地层空气湿度大，气温低，水汽接近饱和，29日早晨大兴、通州、房山出现大雾天气，部分地区伴有水汽凝华现象。据观测统计，本市大部分地区出现霜、房山和通州出现雾凇、南郊观象台出现短时飘雪。按照北京市气象局关于《北京地区初雪日定义》，仍未达到北京地区初雪标准。目前观象台飘雪现象已结束，午后随着气温升高，相对湿度减小，本市能见度将略有好转，但入夜后随着气温下降，还将有雾或轻雾。预计30日早晨到上午随着冷空气的东移南下，本市风力将逐渐加大到4级左右，阵风7级左右，能见度将彻底转好，本次雾和霾天气过程结束。气象专家提醒，29日夜间有雾或轻雾，能见度较差，部分路段道面湿滑，请注意防范对交通出行的不利影响；30日白天本市风力较大，空气干燥，请相关部门做好城市和森林防火，并加强室外搭建物加固、户外高空作业安全防护等各项工作。,http://www.cneb.gov.cn/2017/12/29/ARTI1514530356420567.shtml
河北雾和霾齐袭交通受阻 石家庄空气质量“爆表”,12/29/2017,国家应急广播网综合,,中国天气网讯 29月早晨，河北平原西部出现大雾天气，目前正处于大雾橙色预警中。受其影响，除秦皇岛、唐山、承德、张家口辖区外，石家庄周边高速上道口全部关闭。此外，29日河北霾天气为本轮最重，石家庄局地污染等级已爆表。预计，保定、衡水等地也将有重度霾。30日冷空气来救场，全省有6～7级阵风来“扫霾”，元旦假期河北空气质量重回良好。29日早晨，河北空气湿度大，平原西部出现了大雾天气。为此，河北省气象台于29日早晨05时继续发布大雾橙色预警。据河北高速交警路况播报消息，因大雾影响，截至29日10时33分，省会石家庄周边各高速上道口全部关闭，仅秦皇岛、唐山、承德、张家口辖区可以通行正常。预计，29日夜间到30日上午仍将有大雾天气出现，下午开始好转。另外，不仅有雾，霾天气29日达本轮最重。监测显示，29日上午8时，省会石家庄的无极和藁城共有3个环境监测点空气污染等级爆表。预计29日下午，在静稳天气形势控制下，沧州、保定、衡水、邢台、邯郸地区有重度污染，局地达严重污染。30日新一股冷空气前来救场，预计30日早晨开始，全省大部分地区有西北风4～5级，阵风达6～7级，张家口局地阵风可达8级以上；傍晚前后开始，河北沿岸海域及沿海地区有西北风6～7级，阵风8级，届时霾天气将逐渐减弱并消散。30日起三天为元旦假期，河北以晴间多云天气为主，空气质量回归良好，最高气温无明显波动，白天北部地区最高气温处于-2～4℃之间，中南部为3～6℃。其中，受冷空气影响，31日早晨最低气温普遍下降，北部、东部地区下降6～9℃，其他地区下降2～5℃，需注意防范。气象专家提醒，29日河北雾、霾较为严重，公众尽量不要开窗通风，出行最好戴口罩、帽子。外出回来要及时洗脸、漱口、清理鼻腔，去掉身上附带的污染残留物。选择清淡易消化且富含维生素的水果，多喝水，多吃新鲜蔬菜和水果，补充维生素和无机盐。（文/路丹）,http://www.cneb.gov.cn/2017/12/29/ARTI1514529770584515.shtml
江苏遭浓雾和霾双重袭击 元旦假期天气转好宜出行,12/29/2017,国家应急广播网综合,,中国天气网讯 29日早晨，江苏遭遇大雾和霾双重袭击，徐州、宿迁、淮安等地出现浓雾，多条高速公路因雾实行交通管制，空气质量达严重污染。预计，30日随着一股较强冷空气的到来，此次的大雾和霾天气将得以缓解，元旦假期全省将以晴冷天气为主，适宜出行。监测显示，28日夜间开始，江苏徐州、宿迁、淮安、连云港、盐城、南京等地开始出现大雾天气，局地能见度小于200米，江苏省气象台28日23时21分发布大雾黄色预警信号，29日早晨，上述地区的大雾天气加重，宿迁、淮安、徐州等地部分地区出现了能见度小于50米的强浓雾，江苏省气象台29日4时18分升级发布大雾橙色预警信号，目前徐州等地的浓雾天气仍在持续。受大雾影响，29日江苏境内多条高速公路实行交通管制，S18盐淮高速盐城段、，G25长深高速连云港段、S38常合高速常州段等多条高速公路都采取了限速、分流及关闭入口等措施。据江苏高速公路官方微博消息，截至9时，苏北路网大部分高速路段因大雾实施管制，同时，高速公路管理方也提醒建议车主：此时在高速上行驶车辆尽快下高速或到服务区休息，还未上高速的车辆，请耐心等待，注意安全。除了大雾外，霾也来滋扰了江苏，据江苏省环保厅的资料，截至29日9时，徐州、淮安、宿迁、南京等地已经出现空气污染，其中徐州已经达到重度污染，首要污染物为PM2.5。江苏省气象台29日9时39分发布霾黄色预警信号，预计未来24小时内，全省大部分地区将出现中度霾，局部地区重度霾。好在，30日中午前后，一股较强冷空气将赶来救场。江苏省气象台预计，冷空气将给江苏带来陆上4到7级、江河湖海面7到9级的偏北风，受其影响，这轮雾、霾将开始消散，天气转好。同时，冷空气也会带来明显降温，预计全省最低气温将下降7℃左右，其中31日和1月1日早晨最低气温：淮北地区-4到-5℃，江淮之间-2到-3℃，苏南地区0℃左右，沿淮和淮北地区有冰冻。元旦小长假期间，全省以无雨天气为主，1日天气晴好。气象专家提醒，29日大雾和霾同时到来，给高速公路出行的朋友带来不便，要根据天气状况，合理安排出行；冷空气即将在元旦假期到来，元旦外出活动时，一定要记得给老人和孩子做好保暖措施，预防受凉感冒。（文/陈睿）,http://www.cneb.gov.cn/2017/12/29/ARTI1514529103133478.shtml
浙江29日夜30日晨仍有大雾 元旦假期先雨后晴最低温近冰点,12/29/2017,国家应急广播网综合,,中国天气网讯 29日晨浙江大雾弥漫，杭州余杭等地最小能见度不足100米，浓雾致多条高速实行交通管制。预计29日夜间到30日上午大部地区仍会有大雾。30日夜开始冷空气影响浙江，全省有明显降温和大风天气。元旦小长假先雨后晴，元旦当天全省大部最低气温将降至冰点附近，提醒公众注意防范。28日暖湿气流增强，浙江普降小到中雨。后半夜开始雨水减弱，但由于湿度较大，全省大部出现了大雾，监测显示，29日晨06时，杭州、湖州、绍兴、衢州、金华地区能见度均不足500米，其中杭州余杭能见度仅93米。包括杭州在内的20个县市区陆续发布大雾黄色或橙色预警信号。,http://www.cneb.gov.cn/2017/12/29/ARTI1514516719880984.shtml
新疆阿克苏地区库车县发生3.0级地震 震源深度7千米,12/29/2017,国家应急广播网综合,,中国地震台网正式测定：12月29日10时58分在新疆阿克苏地区库车县（北纬41.18度，东经83.70度）发生3.0级地震，震源深度7千米。,http://www.cneb.gov.cn/2017/12/29/ARTI1514517008998994.shtml
